Run,learning_rate,gamma,n_steps,batch_size,n_epochs,ent_coef,clip_range,Mean Reward,Std Reward,Notes
1,0.0003,0.99,2048,64,10,0.01,0.2,-12.4,0.12,Baseline
2,0.001,0.99,2048,64,10,0.01,0.2,-12.44,0.13,Higher LR
3,0.0001,0.99,2048,64,10,0.01,0.2,-12.72,0.19,Lower LR
4,0.0003,0.95,2048,64,10,0.01,0.2,-74.53,0.27,Lower gamma
5,0.0003,0.99,512,64,10,0.01,0.2,-12.41,0.18,Shorter rollouts
6,0.0003,0.99,2048,128,10,0.01,0.2,-12.45,0.18,Larger batch
7,0.0003,0.99,2048,64,10,0.05,0.2,-12.41,0.13,More entropy
8,0.0003,0.99,2048,64,10,0.01,0.3,-12.38,0.12,Wider clip range
9,0.0003,0.99,2048,64,4,0.01,0.2,-12.5,0.24,Fewer epochs
10,0.0005,0.98,1024,128,5,0.02,0.25,-12.65,0.32,Combined changes
